[main] started 42 self-play workers on GPUs [1, 2, 3, 4, 5, 6, 7], 96 games each, 512 sims/move
[learner] published initial weights to runs/az
[   1.0 min] step       0 | games       0 (  0.0/s) | buffer        0 | reuse 0.00 | policy 0.0000 value 0.0000 | 358.9 min left
[ 106.0 min] step   42955 | games  280812 ( 44.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7677 value 0.2755 | 253.9 min left
[ 107.0 min] step   43383 | games  283643 ( 44.2/s) | buffer  3000000 | reuse 6.00 | policy 1.7675 value 0.2745 | 252.9 min left
[ 108.0 min] step   43803 | games  286463 ( 44.2/s) | buffer  3000000 | reuse 6.00 | policy 1.7701 value 0.2703 | 251.9 min left
[ 109.0 min] step   44231 | games  289388 ( 44.2/s) | buffer  3000000 | reuse 6.00 | policy 1.7710 value 0.2692 | 250.9 min left
[ 110.0 min] step   44662 | games  292256 ( 44.3/s) | buffer  3000000 | reuse 6.00 | policy 1.7716 value 0.2679 | 249.9 min left
[ 111.0 min] step   45083 | games  295097 ( 44.3/s) | buffer  3000000 | reuse 6.00 | policy 1.7702 value 0.2662 | 248.9 min left
[ 112.0 min] step   45496 | games  297962 ( 44.3/s) | buffer  3000000 | reuse 6.00 | policy 1.7704 value 0.2659 | 247.9 min left
[ 113.0 min] step   45927 | games  300920 ( 44.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7707 value 0.2657 | 246.9 min left
[ 114.0 min] step   46333 | games  303829 ( 44.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7708 value 0.2649 | 245.9 min left
[ 115.0 min] step   46744 | games  306730 ( 44.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7713 value 0.2643 | 244.9 min left
[ 116.0 min] step   47152 | games  309639 ( 44.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7712 value 0.2637 | 243.9 min left
[ 117.0 min] step   47568 | games  312555 ( 44.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7710 value 0.2631 | 242.9 min left
[ 118.0 min] step   47984 | games  315527 ( 44.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7714 value 0.2623 | 241.9 min left
[ 119.0 min] step   48402 | games  318566 ( 44.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7712 value 0.2618 | 240.9 min left
[ 120.0 min] step   48814 | games  321512 ( 44.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7712 value 0.2613 | 239.9 min left
[ 121.0 min] step   49226 | games  324422 ( 44.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7716 value 0.2609 | 238.9 min left
[ 122.0 min] step   49621 | games  327269 ( 44.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7717 value 0.2606 | 237.9 min left
[ 123.0 min] step   50075 | games  330254 ( 44.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7715 value 0.2602 | 236.9 min left
[ 124.0 min] step   50472 | games  333104 ( 44.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7715 value 0.2599 | 235.9 min left
[ 125.0 min] step   50900 | games  336057 ( 44.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7716 value 0.2595 | 234.9 min left
[ 126.0 min] step   51315 | games  338964 ( 44.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7714 value 0.2591 | 233.8 min left
[ 127.0 min] step   51727 | games  341862 ( 44.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7715 value 0.2588 | 232.8 min left
[ 128.1 min] step   52149 | games  344864 ( 44.9/s) | buffer  3000000 | reuse 6.00 | policy 1.7717 value 0.2585 | 231.8 min left
[ 129.1 min] step   52576 | games  347869 ( 44.9/s) | buffer  3000000 | reuse 6.00 | policy 1.7717 value 0.2581 | 230.8 min left
[ 130.1 min] step   52995 | games  350907 ( 45.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7719 value 0.2576 | 229.8 min left
[ 131.1 min] step   53388 | games  353808 ( 45.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7721 value 0.2573 | 228.8 min left
[ 132.1 min] step   53797 | games  356665 ( 45.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7721 value 0.2568 | 227.8 min left
[ 133.1 min] step   54214 | games  359584 ( 45.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7720 value 0.2564 | 226.8 min left
[ 134.1 min] step   54634 | games  362521 ( 45.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7721 value 0.2560 | 225.8 min left
[ 135.1 min] step   55052 | games  365462 ( 45.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7759 value 0.2469 | 224.8 min left
[ 136.1 min] step   55487 | games  368427 ( 45.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7753 value 0.2460 | 223.8 min left
[ 137.1 min] step   55906 | games  371454 ( 45.2/s) | buffer  3000000 | reuse 6.00 | policy 1.7736 value 0.2443 | 222.8 min left
[ 138.1 min] step   56319 | games  374468 ( 45.2/s) | buffer  3000000 | reuse 6.00 | policy 1.7745 value 0.2441 | 221.8 min left
[ 139.1 min] step   56741 | games  377428 ( 45.2/s) | buffer  3000000 | reuse 6.00 | policy 1.7744 value 0.2436 | 220.8 min left
